"pid","sawa2","line","offwrist","activity","marker","whitelight","redlight","greenlight","bluelight","wake","interval","starth","day","dayofweek","validday","time"
258857,1,1,0,0,0,,,,,,"ACTIVE",0,1,5,1,13:34:00
258857,1,2,0,69,0,"23.98","1.54","2.27","0.66",,"ACTIVE",0,1,5,1,13:34:30
258857,1,3,0,196,0,"127.24","4.54","12.8","4.44",,"ACTIVE",0,1,5,1,13:35:00
258857,1,4,0,69,0,"1.42","0.0679",139,47,,"ACTIVE",0,1,5,1,13:35:30
258857,1,5,0,112,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,13:36:00
258857,1,6,0,71,0,"322.74","16.6","31.2","11.8",1,"ACTIVE",0,1,5,1,13:36:30
258857,1,7,0,74,0,"7.75",219,785,"0.36",1,"ACTIVE",0,1,5,1,13:37:00
258857,1,8,0,105,0,"0.38","0.0298","0.0347","0.0117",1,"ACTIVE",0,1,5,1,13:37:30
258857,1,9,0,77,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,13:38:00
258857,1,10,0,95,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,13:38:30
258857,1,11,0,30,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,13:39:00
258857,1,12,0,121,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,13:39:30
258857,1,13,0,0,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,13:40:00
258857,1,14,0,44,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,13:40:30
258857,1,15,0,58,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,13:41:00
258857,1,16,0,21,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,13:41:30
258857,1,17,0,3,0,"0.35",17,"0.0347","0.0117",0,"ACTIVE",0,1,5,1,13:42:00
258857,1,18,0,18,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,13:42:30
258857,1,19,0,13,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,13:43:00
258857,1,20,0,6,0,"0.35",17,"0.0347","0.0117",0,"ACTIVE",0,1,5,1,13:43:30
258857,1,21,0,55,0,"159.91","7.47","15.6","6.28",1,"ACTIVE",0,1,5,1,13:44:00
258857,1,22,0,0,0,"22.2","0.33","2.42",244,0,"ACTIVE",0,1,5,1,13:44:30
258857,1,23,0,32,0,"17.66",323,"1.91",219,1,"ACTIVE",0,1,5,1,13:45:00
258857,1,24,0,48,0,"5.43",376,"0.52","0.0395",1,"ACTIVE",0,1,5,1,13:45:30
258857,1,25,0,36,0,"66.04","3.57","6.42","1.79",1,"ACTIVE",0,1,5,1,13:46:00
258857,1,26,0,60,0,"78.69","4.34","7.63","2.08",1,"ACTIVE",0,1,5,1,13:46:30
258857,1,27,0,44,0,"81.96","4.44","7.97","2.17",1,"ACTIVE",0,1,5,1,13:47:00
258857,1,28,0,32,0,"0.38","0.0298","0.0347","0.0117",1,"ACTIVE",0,1,5,1,13:47:30
258857,1,29,0,15,0,"0.38","0.0298","0.0347","0.0117",1,"ACTIVE",0,1,5,1,13:48:00
258857,1,30,0,30,0,"3.94",272,376,46,1,"ACTIVE",0,1,5,1,13:48:30
258857,1,31,0,14,0,"15.3","1.13","1.44",169,1,"ACTIVE",0,1,5,1,13:49:00
258857,1,32,0,149,0,"7.78",487,751,107,1,"ACTIVE",0,1,5,1,13:49:30
258857,1,33,0,292,0,"0.96","0.0679",88,"0.0347",1,"ACTIVE",0,1,5,1,13:50:00
258857,1,34,0,116,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,13:50:30
258857,1,35,0,24,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,13:51:00
258857,1,36,0,53,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,13:51:30
258857,1,37,0,1,0,"0.35",17,"0.0347","0.0117",1,"ACTIVE",0,1,5,1,13:52:00
